"","ID","Gender","Username","text","description","combi","M_frequency","sum","male_prob","gender_predicted"
"1",1,1,"stewardsfolly","huge huge two out two strike hit by crawford sabean says he s a future star i agree close now porcello up in the pen for the tigers","carl steward is a sportswriter and columnist for the bay area news group san jose mercury news oakland tribune and contra costa times who am l leaving out","carl steward is a sportswriter and columnist for the bay area news group san jose mercury news oakland tribune and contra costa times who am l leaving out huge huge two out two strike hit by crawford sabean says he s a future star i agree close now porcello up in the pen for the tigers",22,39,0.564102564102564,1
"2",2,1,"titansfan4life","ipead don t become a cards fan lol why is hosiemixtapesongs trending again lol","well versed in everything from fantasy football to politics favorite teams titans reds bearcats preds","well versed in everything from fantasy football to politics favorite teams titans reds bearcats preds ipead don t become a cards fan lol why is hosiemixtapesongs trending again lol",21,40,0.525,1
"3",3,0,"lindsaytweets","great day at the winery now hanging out at a lovely home until dinner atlanta is impressing me so far babysitting the kiddos this morning we played we ate we watched finding nemo now they re both sleeping i think i ve earned my keep","profession production coordinator producer writer personal christian friend sister daughter writer reader runner","profession production coordinator producer writer personal christian friend sister daughter writer reader runner great day at the winery now hanging out at a lovely home until dinner atlanta is impressing me so far babysitting the kiddos this morning we played we ate we watched finding nemo now they re both sleeping i think i ve earned my keep",38,75,0.506666666666667,1
"4",4,1,"DemetriusJ","doing a favor for a coworker and getting breakfast out of the deal i m not mad at god at all missdoubledees don t be down on yourself he s doing better than 98 us i m sure 2 of the population on his level or better","do you think ignorance is cute ed wuncler","do you think ignorance is cute ed wuncler doing a favor for a coworker and getting breakfast out of the deal i m not mad at god at all missdoubledees don t be down on yourself he s doing better than 98 us i m sure 2 of the population on his level or better",23,35,0.657142857142857,1
"5",5,0,"RachelleDarling","coppla04 ginareed38 she told me televised i m on air at 2 30pm eastern give u more info when i get it coppla04 ginareed38 i m ready too let s do this","i love sports and racing i write nascar articles for web below d p fan since 2005 i am navajo graduated from u of u peyton m king of pop fan","i love sports and racing i write nascar articles for web below d p fan since 2005 i am navajo graduated from u of u peyton m king of pop fan coppla04 ginareed38 she told me televised i m on air at 2 30pm eastern give u more info when i get it coppla04 ginareed38 i m ready too let s do this",23,52,0.442307692307692,0
"6",6,0,"allisonmaydoney","rt stephisdead so proud of the fact i never had my initials engraved on an llbean backpack why did i only get one taco and tell myself to just eat the soup i have when i got back to work i just want a thousand fucking tacos now",""," rt stephisdead so proud of the fact i never had my initials engraved on an llbean backpack why did i only get one taco and tell myself to just eat the soup i have when i got back to work i just want a thousand fucking tacos now",45,94,0.478723404255319,0
"7",7,1,"npaden","rt richieparsons reading the abortion article n dailyathenaeum 1 would think it ok 2 take ur 3 year old out back shoot them should i just got some free music from jars of clay on noisetrade download it here","pharmacist graduate of d e and wvu school of pharmacy geek christian lover of bacon","pharmacist graduate of d e and wvu school of pharmacy geek christian lover of bacon rt richieparsons reading the abortion article n dailyathenaeum 1 would think it ok 2 take ur 3 year old out back shoot them should i just got some free music from jars of clay on noisetrade download it here",43,76,0.565789473684211,1
"8",8,1,"EldonThacker","thank you polly happy new year to you kpsander beccajayden curious linda bet the boss is used to that though","radio host role model sun nites 10pm c wlac am http t co a9e5w0tu http t co hgjz4sl1 http t co sw7clstt","radio host role model sun nites 10pm c wlac am http t co a9e5w0tu http t co hgjz4sl1 http t co sw7clstt thank you polly happy new year to you kpsander beccajayden curious linda bet the boss is used to that though",11,22,0.5,1
"9",9,1,"JimHumbert","saracarterdc did u listen to his radio show when the chechen s aunt called in legendary boston marathon bombers al jazeera exposed glenn beck reveals network s origins amp airs several controversial clips you may not have seen","truth liberty personal responsibility the 1st amendment means nothing without the 2nd death to tyranny leaders are here","truth liberty personal responsibility the 1st amendment means nothing without the 2nd death to tyranny leaders are here saracarterdc did u listen to his radio show when the chechen s aunt called in legendary boston marathon bombers al jazeera exposed glenn beck reveals network s origins amp airs several controversial clips you may not have seen",14,26,0.538461538461538,1
"10",10,1,"realbadger","evilcsm heard about your cancer view this youtube vid i suspect you ll book texas flights for this doctor good luck happy imbolc","lifelong character actor sag aftra my mind works like mst3k all the time co host weekly online radio show the paranormal view http ow ly 4iarc","lifelong character actor sag aftra my mind works like mst3k all the time co host weekly online radio show the paranormal view http ow ly 4iarc evilcsm heard about your cancer view this youtube vid i suspect you ll book texas flights for this doctor good luck happy imbolc",28,44,0.636363636363636,1
